This file contains the monthly mean baseline (background) carbon dioxide (CO2) concentration
"measured at the Kennaook / Cape Grim Baseline Air Pollution Station (KCGBAPS), "
"located near the north-west tip of Tasmania, Australia."
"KCGBAPS is funded and managed by the Australian Bureau of Meteorology, and"
the scientific program is jointly supervised with CSIRO Oceans & Atmosphere.
Please acknowledge these two institutions if these data are used in publications or presentations.

For more information on Kennaook / Cape Grim please see:
http://www.csiro.au/greenhouse-gases/
https://www.csiro.au/en/Research/OandA/Areas/Assessing-our-climate/Greenhouse-gas-data
http://www.bom.gov.au/inside/cgbaps/

The CO2 units are parts per million in dry air (ppm).

The most recent year of data is provided in this file on
a provisional basis only. These data may be subject to further revision. 
CSIRO & the Bureau make every effort to produce the most accurate and 
"precise measurements possible. However, they reserve the right to make"
corrections to the data based on recalibration of standard gases
or for other reasons deemed scientifically justified.
Please see the full terms & conditions at the end of this file.

Release Date: August 2025
 
YYYY,MM,DD,DATE,CO2(ppm),SD(ppm),GR(ppm/yr),Source
1976,5,15,1976.368900000000,328.861,0.165000,NaN,"in situ"
1976,6,15,1976.453600000000,328.988,0.285000,NaN,"in situ"
1976,7,15,1976.535500000000,329.653,0.282000,NaN,"in situ"
1976,8,15,1976.620200000000,330.550,0.201000,NaN,"in situ"
1976,9,15,1976.704900000000,330.872,0.234000,NaN,"in situ"
1976,10,15,1976.786900000000,330.899,0.0150000,NaN,"in situ"
1976,11,15,1976.871600000000,330.883,0.243000,2.14600,"in situ"
1976,12,15,1976.953600000000,330.677,0.187000,2.51199,"in situ"
1977,1,15,1977.038400000000,330.529,0.235000,2.14697,"in situ"
1977,2,15,1977.123300000000,330.543,0.198000,1.77701,"in situ"
1977,3,15,1977.200000000000,330.724,0.119000,2.06799,"in situ"
1977,4,15,1977.284900000000,330.805,0.178000,2.13501,"in situ"
1977,5,15,1977.367100000000,331.007,0.132000,1.89502,"in situ"
1977,6,15,1977.452100000000,331.500,0.203000,1.70001,"in situ"
1977,7,15,1977.534200000000,331.800,0.206000,1.56500,"in situ"
1977,8,15,1977.619200000000,332.327,0.216000,1.63199,"in situ"
1977,9,15,1977.704100000000,332.940,0.113000,1.67401,"in situ"
1977,10,15,1977.786300000000,333.034,0.199000,1.66901,"in situ"
1977,11,15,1977.871200000000,332.778,0.226000,1.63901,"in situ"
1977,12,15,1977.953400000000,332.377,0.259000,1.51501,"in situ"
1978,1,15,1978.038400000000,332.094,0.201000,1.51700,"in situ"
1978,2,15,1978.123300000000,332.175,0.245000,1.59900,"in situ"
1978,3,15,1978.200000000000,332.398,0.198000,2.03699,"in situ"
1978,4,15,1978.284900000000,332.474,0.201000,2.29901,"in situ"
1978,5,15,1978.367100000000,332.646,0.200000,2.04797,"in situ"
1978,6,15,1978.452100000000,333.015,0.102000,2.15399,"in situ"
1978,7,15,1978.534200000000,333.317,0.236000,2.40399,"in situ"
1978,8,15,1978.619200000000,333.926,0.363000,2.41000,"in situ"
1978,9,15,1978.704100000000,334.977,0.387000,2.36499,"in situ"
1978,10,15,1978.786300000000,335.333,0.203000,2.22900,"in situ"
1978,11,15,1978.871200000000,334.826,0.203000,1.98001,"in situ"
1978,12,15,1978.953400000000,334.531,0.197000,1.87399,"in situ"
1979,1,15,1979.038400000000,334.498,0.211000,2.13501,"in situ"
1979,2,15,1979.123300000000,334.585,0.210000,2.01001,"in situ"
1979,3,15,1979.200000000000,334.763,0.198000,1.00400,"in situ"
1979,4,15,1979.284900000000,334.703,0.217000,0.645996,"in situ"
1979,5,15,1979.367100000000,334.626,0.177000,1.14502,"in situ"
1979,6,15,1979.452100000000,334.889,0.197000,1.20200,"in situ"
1979,7,15,1979.534200000000,335.452,0.265000,1.18002,"in situ"
1979,8,15,1979.619200000000,335.936,0.172000,1.19302,"in situ"
1979,9,15,1979.704100000000,335.981,0.213000,1.13501,"in situ"
1979,10,15,1979.786300000000,335.979,0.0240000,1.35400,"in situ"
1979,11,15,1979.871200000000,335.971,0.215000,1.55899,"in situ"
1979,12,15,1979.953400000000,335.733,0.242000,1.64301,"in situ"
1980,1,15,1980.038300000000,335.678,0.204000,1.47800,"in situ"
